key,value
50826,50826
23256,23256
7780,7780
8187,8187
37037,37037
39799,39799
33691,33691
35886,35886
679,679
32651,32651
33757,33757
46240,46240
44361,44361
41241,41241
14182,14182
13844,13844
43650,43650
35905,35905
43753,43753
34590,34590
1158,1158
17639,17639
42880,42880
18190,18190
37882,37882
15971,15971
44709,44709
38682,38682
48975,48975
50634,50634
31080,31080
36302,36302
49993,49993
31121,31121
38047,38047
15423,15423
42593,42593
48179,48179
43045,43045
32427,32427
41563,41563
50282,50282
2324,2324
4521,4521
42665,42665
21686,21686
34494,34494
51146,51146
39156,39156
40010,40010
3458,3458
50984,50984
22023,22023
46642,46642
587,587
48369,48369
31381,31381
40236,40236
39059,39059
43802,43802
35325,35325
32247,32247
32284,32284
31969,31969
49699,49699
42627,42627
10053,10053
42902,42902
47731,47731
31564,31564
34258,34258
10094,10094
50916,50916
19200,19200
50997,50997
21802,21802
37839,37839
47222,47222
5008,5008
44200,44200
36889,36889
33967,33967
18854,18854
35107,35107
39994,39994
6246,6246
32234,32234
272,272
1204,1204
43175,43175
7648,7648
35392,35392
32823,32823
31277,31277
39876,39876
34982,34982
47128,47128
43110,43110
49704,49704
41468,41468
31248,31248
49315,49315
36856,36856
36956,36956
47196,47196
50427,50427
34564,34564
32014,32014
27201,27201
20751,20751
40243,40243
14231,14231
49208,49208
35623,35623
34332,34332
40490,40490
36319,36319
37954,37954
40751,40751
38848,38848
32783,32783
45030,45030
39823,39823
31899,31899
48118,48118
35818,35818
41241,41241
51109,51109
50179,50179
36814,36814
47731,47731
36508,36508
49372,49372
44510,44510
38300,38300
30247,30247
46959,46959
41563,41563
33579,33579
41664,41664
38588,38588
50077,50077
33036,33036
45561,45561
20627,20627
44005,44005
31755,31755
36888,36888
30306,30306
40514,40514
44266,44266
46602,46602
31211,31211
39608,39608
25255,25255
32978,32978
1957,1957
38837,38837
29272,29272
31808,31808
25631,25631
49211,49211
38755,38755
46157,46157
16949,16949
40861,40861
21112,21112
2158,2158
5905,5905
44793,44793
39764,39764
28010,28010
50910,50910
31914,31914
35888,35888
20875,20875
48753,48753
2854,2854
49688,49688
30192,30192
14820,14820
33519,33519
49820,49820
31648,31648
43182,43182
141,141
45023,45023
36341,36341
44903,44903
49075,49075
45603,45603
13815,13815
1709,1709
38740,38740
47292,47292
48137,48137
49545,49545
40034,40034
42148,42148
33224,33224
50590,50590
34570,34570
36297,36297
26615,26615
17427,17427
16297,16297
43470,43470
38336,38336
36161,36161
21957,21957
43815,43815
31695,31695
43295,43295
5043,5043
46677,46677
36939,36939
51048,51048
46927,46927
14544,14544
42364,42364
40004,40004
42200,42200
4483,4483
32759,32759
1180,1180
51110,51110
42197,42197
41583,41583
42087,42087
42112,42112
12170,12170
30804,30804
49146,49146
37733,37733
49161,49161
47333,47333
32040,32040
47498,47498
45880,45880
46419,46419
